#
# 10MV Open Field Output Factors
#
%
%
%BMTY PHO
%TYPE OutputFactorTable
%SourcePhantomDistance 950
%DetectorDepth 50
# Data
3,4,5,7,10,15,20,30,40,
3,0.883,0.897,0.904,0.912,0.917,0.921,0.924,0.926,0.926
4,0.898,0.914,0.923,0.933,0.941,0.946,0.949,0.952,0.952
5,0.907,0.925,0.935,0.947,0.956,0.963,0.966,0.970,0.970
7,0.918,0.939,0.952,0.967,0.979,0.987,0.992,0.997,0.998
10,0.928,0.952,0.966,0.985,1.000,1.011,1.018,1.024,1.026
15,0.936,0.962,0.979,1.000,1.019,1.033,1.043,1.051,1.054
20,0.940,0.967,0.984,1.008,1.028,1.045,1.056,1.067,1.069
30,0.945,0.973,0.991,1.016,1.038,1.058,1.072,1.085,1.089
40,0.947,0.975,0.994,1.020,1.043,1.064,1.079,1.093,1.097
